,Gender,Review,Rating
0,M,Good job done,4.8
1,,"Good job, thanks Victoria!",5.0
2,,Excellent job!,5.0
3,,Professional and paiteht throughout the entire project / process. I will br a returning cliebt.,4.9
4,F,very easy to communicate with her. great professional,5.0
5,F,The project is not completed according to the dispute,5.0
6,F,Very good work done on a large project. Xianshu did an excellent job. I will work with her again.,5.0
7,F,Top notch developer!,4.8
8,M,Lina communicated extremely well and had the skills to do the job. Would definitely recommend.,5.0
9,M,"Great job! Fixed an issue plaguing my site for weeks! Thank you Jack, I will be looking to hire you again!",5.0
10,,Great work! Delivered better than expected!!,5.0
11,M,"friendly communication and highly skilled, delivery on time and within budget, will work with him again",5.0
12,,Great Work.,5.0
13,M,Thank you Abhinay!,5.0
14,,Rating: 5.0/5.0,5.0
15,M,Amazing to work with once again and I can't wait to work with them again soon!,5.0
16,M,Legend,5.0
17,M,job done as required,5.0
18,M,"good communication, great design, fast response with exactly what I asked for. Thank you!",5.0
19,M,"Professional design, asking the right questions, impressive presentation of work.",4.8
20,M,nice work,5.0
21,,"Top freelancer here. The scope kept changing and they kept amending to suit our demands. Very good communication and design work is awesome.

Will defiantly hire again.",5.0
22,M,"Nikhil did a great job on the project, professional work. Communication got confused once or twice but he was quick to resolve issues. Very happy with the work and the experience was pleasant.",5.0
23,,This guy is fantastic. He is worthy every penny. He created the DB file and actually explained how it works. He is fantastic. We will do more work together.,5.0
24,,Great cooperation as always! I highly recommend Maria's services to anyone.,5.0
25,,"Thank you for all your help. You delivered all the work well within time. The work was of a high quality.
I would certainly want to hire you again!",5.0
26,M,Well done as a start version of business plan.,5.0
27,,Easy and efficient,5.0
28,,Very fast turn around time! Thanks,5.0
29,,excellent job,5.0
30,,"Great job and I will certainly use again
Good communicator and nice person to work with!",1.0
31,M,An excellent person to work with. Professional!!,4.7
32,M,"Very reliable and easy to work with, will use Kuldeep in the future",5.0
33,F,Great job done. will hire her again,5.0
34,M,Job well done.,5.0
35,,great service as always,5.0
36,M,Very good and fast.,4.2
37,M,Awesome Designer,5.0
38,M,Used Razab before and came back for his services. Very professional and willing to do what it takes to get it right.,5.0
39,F,"Great work, delivered with useful reports, and good availability.",4.9
40,M,Great!,5.0
41,,"Smart and very friendly developer.
I highly recommend",5.0
42,,He completed the project in a perfect and fast time.,5.0
43,M,"as usual , quality work",0.0
44,,good job,4.4
45,M,"perfect and Quick, correct his work in
 according with my feedback. perfect",5.0
46,,Always wonderful to work.,5.0
47,M,Excellent,5.0
48,M,Too easy!!!,5.0
49,M,He's got good skills,5.0
50,,Nice work at first time,1.0
51,M,"I work professionally, but must improve the delivery date. Respecting the delivery, we are going very long",5.0
52,M,"Yes, i was looking an expert to set up my Google adword account,Alok seems professional, he gave me many advise and comments, would highly recommend him and i hope to work with him in the next projects.",5.0
53,F,Amazing quality,3.8
54,M,"Professional developer.
He is very honest man and excellent developer.
I will hire him again.
Thanks",5.0
55,,Great. Pleasure to work with. Completed all tasks and was very professional.,5.0
56,M,Delivered on time with good quality.,4.0
57,F,"Good fast job, thanks",4.8
58,,Great work!,5.0
59,,Hope better.,5.0
60,,"thanks! great work! 
looking forward for next project ;)

gl!",5.0
61,M,It was great working with you will hire u again for sure! :),5.0
62,,"SWIFT, ON BUDGET.",5.0
63,M,He is a good graphic designer and improving day by day. He is hardworking and coordinating person. Hope to do good work with him for a longer period. Thanks for the nice work.,4.9
64,M,"Risalat and his team have been fantastic. It is a Chinese website that I asked for, which I provided all content. It has taken a lot longer than we all expected. Language barrier has made it a whole lot harder, however, I do not regret hiring Risalat and his team. They have been extremely patient. They went the extra mile to achieve the result I want, no matter how frustrating it might have been at times, which I really appreciate.",4.8
65,M,"Very communicative, easy to work with, he delivered on time and he followed all the instructions.",5.0
66,M,perfect work,5.0
67,F,great job again!,5.0
68,F,Great Job Syeda as always!,5.0
69,M,"Again, he completed work on time. Thanks! :)",4.9
70,M,Excellent as usual,5.0
71,M,The project is not completed according to the dispute,5.0
72,,"Good job. He repair a problem that other freelancer couldn't, and it was fast! 5 Stars",5.0
73,M,GREAT JOB!,5.0
74,M,"Svjatoslav has good communication skills.
He did my job in time, on budget and delivered high quality output.
Definitively I will hire him again if I need to scrape a website.",5.0
75,M,excellent translation. will work again.,5.0
76,,"This is my first Online project and iam very happy to choose Ingenius for this project,The quality of work, communication and updates are very  [login to view URL] recommended !!!

MotionGraphics",5.0
77,,"Great design work, provided great options and even provided details of the design in comments",4.5
78,,"Very Creative, understood the request right away",4.0
79,,work fine!,5.0
80,M,"Mark was excellent once he understood what I needed, great diversity and very attentive. I would recommend him.",5.0
81,F,"Bhavika completed my project perfectly, on time. An excellent freelancer.",5.0
82,M,Ali is very very supportive and is the best freelancer so far I worked with!,5.0
83,M,Good communicator and specialist,5.0
84,M,"Extraordinary professional! It has been an honor to work with some-one of his calibre. [login to view URL] is deliberate with his tasks and implements with great attention to every detail. For me, one of his most important skill sets is his ability to self manage and keep our projects  moving forward no matter my availability or the lack thereof. No worries once you have agreed on a android and web project and a course of action. Additionally, [login to view URL] puts his heart and soul into his work. He gives you everything his got when he gets into a project. I am humbled to have worked with some-one of such high integrity and so committed to our mutual success. A truly great business partner.",5.0
85,,Incredible designer... immensely talented. Thank you,5.0
86,,Brilliant work. Job was complex and it was done on time and on budget.  Great communication skills.  Highly recommend calgrogan.,5.0
87,M,Great to work with,5.0
88,M,I appreciate the work!,5.0
89,M,Perfect work and delivered very quickly,5.0
90,F,We've been working with Jennifer for a while now. She is very reliable and completes the work as requested and won't hesitate to make changes based on requests from us.,5.0
91,,"He is the winner of my Contest and I am very satisfied! Great work experience. Easy communication, fast delivery and high quality! Thank you very much!",4.8
92,M,Vasyl does it again. Always on time and with unmatched quality. We will have another project for him shortly.,5.0
93,,Excellent work was done.,5.0
94,,very quick.,5.0
95,M,good quality work but bad communication.,5.0
96,M,"Fantastic freelancer, I would highly recommend him to anyone looking for a photoshop expert!",5.0
97,,TOP TOP TOP!! RAGAZZO IN GAMBA E DAVVERO COMPETENTE,5.0
98,M,Very knowledgeable and pro-active freelancer,5.0
99,M,excellent. efficient. quick.,5.0
100,F,Great,5.0
101,M,"Que no haya dudas. Buen precio, buen trabajo, comunicación fluída... lo contrataría de nuevo.",4.0
102,M,"Good job,thank you",3.8
103,M,One of the best and most professional designers that I've worked with. Will totally recommend and definitely hire again. Thank you!,5.0
104,,Interesting concept,5.0
105,M,very good work and very good person,5.0
106,M,Great Programmer.. Will work with him again.,5.0
107,M,every hink workes how it should,5.0
108,M,"Great job. Finally, issues solved",4.9
109,M,Awesome,4.9
110,M,"Quick, professional, always handy, best IT sepcialist ever work with.",5.0
111,,quick and efficient to provide me with what I was seeking. Made changes in a timely manner as well.,4.0
112,,Thanks for your professional job. Highly recommended to others.,5.0
113,M,"scammer, scammed me

[13 December, 2017] scammed mee",1.0
114,M,hard working will keep hiring again,5.0
115,,Great work,5.0
116,M,Extremely satisfied with his performance,5.0
117,M,"Perfect, really sweet design right to the point.",5.0
118,,Brijesh has been very helpful with setting up my SEO project. He has offered advice on the best approach and provided me with options along the way,5.0
119,M,I like to work with Aly... Great guy.,5.0
120,M,Fantastic work by Khushwant on PHP project. will hire again,5.0
121,,"Very helpful, great communication, would absolutely hire again.",4.4
122,M,Great Freelancer and very good. I will definitely use him again.,4.6
123,M,good and wrong.,5.0
124,,With about 280 entries for my logo contest Geo's two entries were both by far the best of the bunch. Minor changes were made quickly and all files updated and sent over right away. Would definitely use again.,5.0
125,M,"this is a very great and professional freelancer, i recommend to hire him again and again, so glad to work with him.",5.0
126,M,"very capable and creative graphic designer, I can recommend it!",5.0
127,M,Highly recommended. Will use again,5.0
128,F,She's excellent. We've had he do many projects for us.,3.4
129,M,"Great, great professional !! Great to work with him !!",5.0
130,,"2nd time working with Nicolas.  Very pleased with results, communication,  and prompt delivery of my project.",5.0
131,M,Works smart. Quality Output. Would hire again for sure!,5.0
132,M,"Awesome work. Kept me updated, cant fault.",5.0
133,,Excellent and highly professional worker. Highly recommended!,5.0
134,M,"Great discovery for new Freelancer guy like me :)
I hope we can work together again",5.0
135,M,"Jorge is a pleasure to work with!
He understood perfectly the situation and was able to develop the code within budget and time!
He kept me informed by sending screenshots and asking for feedback on serious question. 
In the nearly future I will hire him for sure as he delivers a good ratio with price and quality!

Thank you again Jorge!",5.0
136,M,Verry nice  cooperation,4.8
137,M,Great work - thanks !!,5.0
138,,"Elena is Amazing!! One of the BEST App developers that I have ever worked with! Highly intelligent, Very Fast and App Development better than any other App developer that I ever worked with. Very Efficient, smart coder, and was able to spot errors, resolve all issues and get App successfully submitted to Apple App Store.",4.6
139,,"Great, working Sergii. He delivered excellent results!",5.0
140,M,nice. Expert,0.0
141,,100% finalizado,4.9
142,,This was my first experience hiring a freelancer.  Hasanur was fast and effective and affordable. I would consider hiring again.,5.0
143,,Very quick and efficient.,5.0
144,F,"ChongYin is an expert in OCR technologies. More than expert in OCR, he has the skill to think in novel ways to identify roadblocks in OCR processing. Everytime the project was under a critical roadblock, he had wit to make way through it, through the most innovative thinking. Excellent communication and professionalism. The work was well documented, and he has been providing post completion service too (only in my case) for effective integration of the module he has completed. Would definitely recommend him for the next project and shall also work with him in future.",5.0
145,,"His work was exactly what I needed, Mostafa is definitely the guy you need if you require writing in the medical fields.",5.0
146,F,Fantastic work as always. Simply a pleasure to work with. Thanks again.,5.0
147,M,Great job. Very happy hith the results. Will sure work with him again.,5.0
148,M,Did good work will definately hire him again.,5.0
149,F,"Did not delivered! Used bad language!
and remember: You are also borned by a Bdeshi.",4.4
150,,Todo ok. Muy buen trabajo,5.0
151,,Netvalue was very easy to work with and provided great communication.  I would definitely work with them again.,5.0
152,F,Vision and Communication is amazing!,5.0
153,M,great work and communication.  would hire again!,4.6
154,,Great freelancer,5.0
155,M,Project was not completed,5.0
156,M,"Very fast replies, did great work thanks",5.0
