,rep_singles
0,kind
1,stable
2,straightforward
3,adapting
4,professional
5,compelling
6,observant
7,welcoming
8,reliable
9,unifying
10,vocal
11,woman
12,experienced
13,engaged
14,confident
15,outstanding
16,versatile
17,pensive
18,consistent
19,diplomatic
20,innovative
21,strong
22,prepared
23,advancement
24,persistent
25,commanding
26,mentor
27,comprehensive
28,spirited
29,passion
30,considerate
31,leader
32,methodological
33,efficient
34,questioning
35,engagement
36,persuasive
37,mature
38,supportive
39,leadership
40,powerful
41,responsible
42,inspirational
43,committed
44,perceptive
45,optimistic
46,appreciative
47,standout
48,assertive
49,self-aware
50,humorous
51,balanced
52,approach
53,listens
54,inventive
55,self-controlled
56,man
57,strategic
58,receptive
59,involved
60,amicable
61,well-balanced
62,assurance
63,accepting
64,analytical
65,imaginative
66,relaxed
67,one-of-a-kind
68,content
69,standardized
70,organized
71,canny
72,competitive
73,inclusive
74,cognizant
75,expertise
76,capacity
77,impactful
78,professionalism
79,self-led
80,compliments
81,constant
82,patient
83,autonomous
84,happy
85,convincing
86,adaptable
87,transparent
88,insightful
89,adventurous
90,persevere
91,multi-tasker
92,clever
93,articulate
94,cautionary
95,equitable
96,hard-working
97,influential
98,dependable
99,unique
100,intentional
101,forthright
102,creative
103,devoted
104,endure
105,determined
106,trusty
107,credible
108,future-focused
109,careful
110,motivated
111,seasoned
112,clear
113,influencer
114,level-headed
115,easy-going
116,spontaneous
117,astute
118,thoughtful
119,resourceful
120,respectful
121,quiet
122,tactful
123,driven
124,conscientious
125,reflective
126,unidealistic
127,serious
128,flexible
129,brave
130,objective
131,deliberate
132,cooperative
133,independent
134,notable
135,invested
136,inspiring
137,direct
138,authentic
139,constructive
140,visionary
141,analyze
142,courageous
143,dedicated
144,feedback
145,candid
146,caring
147,engaging
148,productive
149,pithy
150,assured
151,structured
152,conscious
153,ordered
154,passionate
155,energetic
156,cautious
157,delivery-focused
158,competent
159,satisfied
160,considered
161,calm
